year,month,day,hour,minute,second,I_D,focal_depth,EQ_primary,intensity,country,state,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged,location_name
2008,7,5,2,12,4.4,8955,633,7.7,0,RUSSIA,,53.882,152.886,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSSIA:  SEA OF OKHOTSK
2008,7,8,9,13,7.4,8163,123,6.2,0,PERU,,-15.986,-71.748,160,1,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,PERU:  AREQUIPA
2008,7,19,2,39,28.7,7971,22,6.9,0,JAPAN,,37.552,142.214,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAPAN:  OFF EAST COAST OF HONSHU ISLAND
2008,7,23,15,26,19.9,8164,108,6.8,0,JAPAN,,39.802,141.464,30,1,1,0,0,200,3,0,2,90,2,90,2,1,0,200,0,0,90,JAPAN:  HONSHU:  N
2008,7,24,7,9,30.0,8165,10,5.6,0,CHINA,,32.747,105.542,30,1,1,0,0,17,1,0,3,1200,4,1200,4,1,0,17,0,1200,0,CHINA:  SICHUAN PROVINCE
2008,7,29,18,42,15.7,8166,15,5.4,6,USA,CA,33.953,-117.761,150,0,0,0,0,8,1,0,1,0,0,0,1,0,0,8,0,0,0,CALIFORNIA:  LOS ANGELES
2008,8,1,8,32,43.0,8167,7,5.7,0,CHINA,,32.036,104.722,30,0,0,0,0,231,3,0,2,540,3,540,3,0,0,231,0,540,2450,CHINA:  SICHUAN PROVINCE
2008,8,5,9,49,17.2,8168,6,6.0,0,CHINA,,32.756,105.494,30,4,1,0,0,29,1,0,1,0,0,0,0,4,0,29,0,0,0,CHINA:  SICHUAN PROVINCE
2008,8,11,7,19,26.4,8169,13,5.2,0,VENEZUELA,,10.514,-64.171,160,0,0,0,0,0,0,0,1,0,0,50,1,0,0,0,0,0,50,VENEZUELA:  CARIACO-CUMANA
2008,8,15,10,25,16.5,8170,10,6.0,0,PHILIPPINES,,12.897,124.319,170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PHILIPPINES:  LUZON:  LEGASPI
2008,8,19,21,35,17.2,8171,46,5.0,0,CHINA,,25.051,97.919,30,0,0,0,0,0,0,0,3,5,1,5,1,0,0,0,0,5,2420,CHINA:  YUNNAN PROVINCE
2008,8,21,12,24,29.5,8172,1,6.0,0,CHINA,,25.044,97.684,30,5,1,0,0,127,3,0,3,0,0,0,0,5,0,127,0,0,0,CHINA:  YUNNAN PROVINCE
2008,8,25,11,25,19.3,8173,32,5.5,0,NEW ZEALAND,,-39.715,176.851,170,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NEW ZEALAND:  NORTH ISLAND
2008,8,25,13,21,58.8,8174,12,6.7,8,CHINA,,30.901,83.52,40,0,0,0,0,0,0,0,2,0,0,700,3,0,0,0,0,0,700,CHINA:  TIBET (XIZANG PROVINCE)
2008,8,26,8,7,8.5,10114,10,5.0,0,ATLANTIC OCEAN,,-52.533,26.417,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATLANTIC OCEAN:  SOUTH
2008,8,27,1,35,32.1,8175,16,6.2,8,RUSSIA,,51.607,104.158,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RUSSIA:  LAKE BAYKAL
2008,8,30,8,30,54.0,8132,17,5.9,0,CHINA,,26.272,101.937,30,43,1,0,0,589,3,0,4,392000,4,392000,4,43,0,589,0,392000,0,CHINA:  SICHUAN PROVINCE
2008,9,3,2,22,47.0,8176,6,4.1,0,TURKEY,,37.507,38.503,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TURKEY:  ADIYAMAN
2008,9,9,3,7,27.5,8185,25,5.4,0,INDONESIA,,-3.935,103.058,60,2,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,113,INDONESIA:  SUMATRA:  SOUTHERN
2008,9,10,11,0,34.0,8133,12,6.1,0,IRAN,,26.743,55.828,140,7,1,0,0,45,1,0,3,0,3,0,3,7,0,45,0,0,0,IRAN:  HORMOZGAN PROVINCE
2008,9,11,0,20,50.9,8134,25,6.8,0,JAPAN,,41.892,143.754,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAPAN:  HOKKAIDO
2008,9,16,21,47,14.5,8186,10,5.0,0,INDIA,,17.438,73.915,60,1,1,0,0,20,1,0,3,0,0,0,0,1,0,20,0,0,1500,INDIA:  MAHARASHTRA
